Name,Physical Address,Postal Address,Region,URI,Email,Telephone Number,Fax Number,Sector,Is FAFT School,Is Pre School,Is Primary School,Is Middle School,Is Senior School,Principal,NTG Remote Definition
Acacia Hill School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 435, ALICE SPRINGS, 0871, NT",Central,not available,acaciahill.school@education.nt.gov.au,(08) 895 52222,,Government,No,Yes,Yes,Yes,Yes,Julie Permezel,Urban
Adelaide River School,"31 Memorial Tce, Adelaide River, 0846, NT","C/- Post Office, Adelaide River, 0846, NT",Top End,,adelaideriver.ps@education.nt.gov.au,(08) 8976 7034,(08) 8976 7074,Government,No,Yes,Yes,No,No,Tony Clegg,Remote Special Category
Alawa Pre School,"27 Pett St, Alawa, NT",", , , ",Darwin,,,(08) 899 77666,,,No,Yes,No,No,No,,
Alawa Primary School,"27 Pett Street, Alawa, 0810, NT","PO Box 40446, Casuarina, 0811, NT",Darwin,http://www.alawaprimary.nt.edu.au,alawa.school@education.nt.gov.au,(08) 899 77666,,Government,No,Yes,Yes,No,No,Sandy Cartwright,Urban
Alcoota School,"N/A, Engawala (Alcoota Stn), NT","PMB 129, via Alice Springs, 0872, NT",Central,n/a,janet.purje@education.nt.gov.au,(08) 8956 9977,(08) 8956 9126,Government,No,Yes,Yes,Yes,Yes,Janet Purje,Remote Category 2
Alekarenge School,"N/A, Ali Curung (Warrabri), NT","LMB 161, via Alice Springs, 0872, NT",Barkly,not available,admin.alekacec@education.nt.gov.au,(08) 8964 1957,(08) 8964 1969,Government,Yes,Yes,Yes,Yes,Yes,Chris Harvey,Remote Category 2
Alice Springs Language Centre,"Milner Road, Alice SPrings, 0870, NT","PO Box 9045, Alice Springs, 0871, NT",Central,http://www.alicespringslanguagecentre.com,admin.aslc@education.nt.gov.au,(08) 895 52366,,Government,No,No,No,No,No,Susan Moore,Urban
Alice Springs School Of The Air,"80 Head St, Alice Springs, 0870, NT","PO Box 1220, Alice Springs, 0871, NT",Central,http://www.assoa.nt.edu.au/,assoa@assoa.nt.edu.au,(08) 8951 6800,,Government,No,Yes,Yes,Yes,No,Kerrie Russell,Remote Category 3
Alice Springs Steiner School,"Lot 9523 Ragonesi Rd, Alice Springs, 0870, NT","PO Box 2736, Alice Springs, 0871, NT",Central,http://www.alicesteiner.nt.edu.au/,accounts@alicesteiner.nt.edu.au,(08) 8952 3897,(08) 8952 3897,Independent,No,Yes,Yes,No,No,Dina Fieck,
Alpurrurulam School,"N/A, Alpurrurulam (Lake Nash), NT","PMB 46, Mt Isa, 4825, QLD",Barkly,n/a,gavin.khan@education.nt.gov.au,(07) 4748 4887,(07) 4748 3078,Government,Yes,Yes,Yes,Yes,Yes,Gavin Khan,Remote Category 3
