id,PositionTitle,Designation,Agency,Locations,VacancyType,Vacancy6MonthsOrLess,EmploymentCategory,NumberOfVacancies,NumberOfVacancies Several ,NumberOfApplicants,NumberOfSuccessfulApplicants
70031,Regional Director ,SENIOR ADMINISTRATIVE OFFICER 2,"Department of Industry, Tourism and Trade",Katherine,Fixed (Temporary) - Part Time,,"Administration and Business Services, Agriculture, Animal and Horticulture, Executive and Senior Management",1,,3,0
73024,Senior Project Officer,ADMINISTRATIVE OFFICER 7,Department of Trade Business and Innovation,Darwin,Fixed (Temporary) - Full Time,YES,Administration and Business Services,1,,18,0
153103,Senior Program Governance Officer,ADMINISTRATIVE OFFICER 7,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Program and Project Management, Information and Communication Technology (ICT), Legal",1,,6,1
154461,Senior Dental Assistant,TECHNICAL 4,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,Allied Health and Health Care Services,1,,10,1
155141,Primary Health Care Nurses,NURSE LEVEL 3 RDO,Department of Health,"Alcoota (Engawala), Ali Curung (Alekarenge), Canteen Ck-Orwatjlla, Epenarra-Wutunurrgur, Finke (Aputula), Haasts Bluff-Ikuntji, Harts Range-Atitjere, Hermannsburg/Ntaria, Imanpa (Mt Ebenezer), Mt Allen (Yuelamu), Mt Liebig-Amunturrng, Napperby (Laramba), Nyirrpi-Waite Creek, Ti Tree, Yuendumu",Fixed (Temporary) - Full Time,,"Professional, Nursing and Midwifery, Allied Health and Health Care Services, Medical",,Several,17,3
155167,Team Leader Aboriginal Support Services Unit ,ADMINISTRATIVE OFFICER 4,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Administration and Business Services",1,,3,1
155547,Medical Recruitment Support Officer,ADMINISTRATIVE OFFICER 4,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Human Resources and Work Health Safety",1,,37,0
157354,"Director, Water Licensing and Regulation",SENIOR ADMINISTRATIVE OFFICER 2,"Department of Environment, Parks and Water Security",Palmerston,Fixed (Temporary) - Full Time,,"Administration and Business Services, Environment, Natural Resources and Conservation, Executive and Senior Management",1,,6,1
157778,Special Education Teacher,CLASSROOM TEACHER,Department of Education,Milingimbi,Fixed (Temporary) - Full Time,,Education and Training,1,,0,0
158315,Radiographer/Sonographer,PROFESSIONAL 2,Department of Health,Katherine,Fixed (Temporary) - Full Time,YES,"Allied Health and Health Care Services, Professional",1,,0,0
158598,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",Territory Families,Alice Springs,Ongoing (Permanent) - Full Time,,"Child Protection, Professional, Social Work, Community Services",,Several,9,0
158599,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",Territory Families,Alice Springs,Ongoing (Permanent) - Full Time,,"Child Protection, Professional, Social Work, Community Services",,Several,14,6
158600,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",Territory Families,Alice Springs,Ongoing (Permanent) - Full Time,,"Child Protection, Professional, Social Work, Community Services",,Several,8,1
158602,Child Protection Practitioner,"PROFESSIONAL 1, PROFESSIONAL 2",Territory Families,Alice Springs,Ongoing (Permanent) - Full Time,,"Child Protection, Professional, Social Work, Community Services",,Several,13,1
158622,Business Manager,SENIOR ADMINISTRATIVE OFFICER 1,"Department of Infrastructure, Planning and Logistics",Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,18,1
158956,Rural Medical Practitioner,"RURAL MEDICAL PRACTITIONER RL3.1-RL3.5, SNR RURAL MEDICAL PRACTITIONER RL4.1-4.4",Department of Health,Wadeye-Port Keats,Fixed (Temporary) - Full Time,,Medical,1,,3,0
159159,Sentence Management Reception Officer,ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Palmerston,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Prison Services",1,,50,1
159662,Administrative Officer ,ADMINISTRATIVE OFFICER 3,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,84,1
159977,Clinical Quality and Safety Manager,"ADMINISTRATIVE OFFICER 7, NURSE LEVEL 6",Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Nursing and Midwifery",1,,2,1
160142,Project Director - Land Servicing and Engineering,SENIOR ADMINISTRATIVE OFFICER 2,"Department of Infrastructure, Planning and Logistics",Palmerston,Ongoing (Permanent) - Full Time,,"Engineering, Executive and Senior Management, Program and Project Management",1,,9,1
160164,Project Officer,ADMINISTRATIVE OFFICER 5,"Department of Infrastructure, Planning and Logistics",Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Communication, Media and Public Relations, Construction, Architecture and Design",1,,19,1
160207,"Senior Pharmacist, Alcohol and Other Drugs",PROFESSIONAL 3,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Professional",1,,0,0
160286,NTG Traineeship and Aboriginal Traineeship Program,"NTPS TRAINEESHIP AQF3 LEVEL A, NTPS TRAINEESHIP AQF3 LEVEL B, NTPS TRAINEESHIP AQF3 LEVEL C, NTPS TRAINEESHIP AQF4 LEVEL A, NTPS TRAINEESHIP AQF4 LEVEL B, NTPS TRAINEESHIP AQF4 LEVEL C, NTPS ADULT TRAINEESHIP AQF3 LEVEL A, NTPS ADULT TRAINEESHIP AQF3 LEVEL B, NTPS ADULT TRAINEESHIP AQF3 LEVEL C, NTPS ADULT TRAINEESHIP AQF4 LEVEL A, NTPS ADULT TRAINEESHIP AQF4 LEVEL B, NTPS ADULT TRAINEESHIP AQF4 LEVEL C, SCHOOL BASED TRAINEE, TRAINEE NON CLASSIFIED - RDO",Department of Corporate and Digital Development ,"Alice Springs, Darwin, Katherine, Palmerston, Tennant Creek, Nhulunbuy",Fixed (Temporary) - Full Time,,"Traineeship, Cadetship and Graduate Programs",,Several,296,26
160290,NTG Vacation and Aboriginal Vacation Employment,"ADMINISTRATIVE OFFICER 1, ADMINISTRATIVE OFFICER 2",Department of Corporate and Digital Development ,"Alice Springs, Darwin, Katherine, Palmerston",Fixed (Temporary) - Full Time,YES,Vacation Employment,,Several,56,0
160292,NTG Vacation and Aboriginal Vacation Employment,"ADMINISTRATIVE OFFICER 1, ADMINISTRATIVE OFFICER 2",Department of Corporate and Digital Development ,"Alice Springs, Darwin, Katherine, Palmerston",Fixed (Temporary) - Full Time,YES,Vacation Employment,,Several,110,16
160416,NCC INFECTION PREVENT & MANGMT,NURSE LEVEL 5 RDO,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,Nursing and Midwifery,1,,0,0
160455,Farm Manager,TECHNICAL 4,"Department of Industry, Tourism and Trade",Douglas Daly,Fixed (Temporary) - Full Time,,"Agriculture, Animal and Horticulture, Primary Industry",1,,21,0
160528,"Director of Nursing and Midwifery, Primary Health Care",NURSE LEVEL 7 RDO,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,Nursing and Midwifery,1,,2,1
160654,"Clinical Nurse Consultant, Alcohol and other Drugs and Volatile Substance Abuse Team Leader",NURSE LEVEL 5 RDO,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Community Services, Nursing and Midwifery, Allied Health and Health Care Services",1,,1,1
160656,Aboriginal Health Practitioner,ATP3 (CLOSED FOR NORMAL USE),Department of Health,Tennant Creek,Ongoing (Permanent) - Full Time,,Nursing and Midwifery,1,,0,0
160709,Rural Medical Practitioner,RURAL MEDICAL PRACTITIONER RL3.1-RL3.5,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,"Community Services, Medical",,Several,8,1
160843,Assistant Principal Early Childhood,SENIOR TEACHER 3,Department of Education,Milingimbi,Ongoing (Permanent) - Full Time,,"Education and Training, Administration and Business Services",1,,5,0
160860,Continuous Quality Improvement Facilitator,NURSE LEVEL 5 RDO,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Human Resources and Work Health Safety, Nursing and Midwifery",1,,3,0
160899,Contract Audit and Investigations Officer,ADMINISTRATIVE OFFICER 7,"Department of Infrastructure, Planning and Logistics",Palmerston,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Construction, Architecture and Design, Procurement, Grants and Contract Management",1,,27,1
160925,Primary Health Care Nurse,NURSE LEVEL 4 RDO,Department of Health,"Alcoota (Engawala), Ali Curung (Alekarenge), Canteen Ck-Orwatjlla, Docker Rvr-Kaltukarj, Elliott, Epenarra-Wutunurrgur, Finke (Aputula), Haasts Bluff-Ikuntji, Harts Range-Atitjere, Hermannsburg/Ntaria, Imanpa (Mt Ebenezer), Lk Nash-Alpurrurulam, Maryvale (Titjikala), Mt Allen (Yuelamu), Mt Liebig-Amunturrng, Napperby (Laramba), Nyirrpi-Waite Creek, Papunya, Ti Tree, Willowra-Wirilyatjar, Yuendumu, Yulara, Watarrka",Ongoing (Permanent) - Full Time,,Nursing and Midwifery,,Several,6,2
160960,Patient Travel Clerk,ADMINISTRATIVE OFFICER 3,Department of Health,Nhulunbuy,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,20,1
161020,Administration Officer Top End West,ADMINISTRATIVE OFFICER 3,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,59,0
161060,Clinical Nurse Specialist,NURSE LEVEL 3 RDO,Department of Health,Tennant Creek,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Professional",1,,1,1
161063,Senior WorkSafe Inspector,ADMINISTRATIVE OFFICER 6,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Human Resources and Work Health Safety, Administration and Business Services",3,,59,2
161091,Graphic Design and Multimedia Officer,ADMINISTRATIVE OFFICER 5,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Communication, Media and Public Relations",1,,24,1
161123,Principal,EXECUTIVE CONTRACT PRINCIPAL LEVEL 2,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services, Executive and Senior Management",1,,15,1
161165,Medical Records and Primary Care Information System Audit,ADMINISTRATIVE OFFICER 4,Department of Health,Alice Springs,Fixed (Temporary) - Part Time,YES,"Administration and Business Services, Information and Records Management",1,,11,1
161192,"Director of Contracts, Procurement and Stores",SENIOR ADMINISTRATIVE OFFICER 1,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Procurement, Grants and Contract Management, Administration and Business Services",1,,6,1
161223,Aboriginal and Torres Strait Islander Health Pracitioner,ATP6 (CLOSED FOR NORMAL USE),Department of Health,Darwin,Fixed (Temporary) - Full Time,,Allied Health and Health Care Services,1,,1,0
161323,Server Engineer,TGEN BAND 3 ADMIN CORPORATE SERVICES,Territory Generation,Darwin,Fixed (Temporary) - Full Time,,Information and Communication Technology (ICT),1,,25,1
161327,MRI Senior Radiographer,PROFESSIONAL 3,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,Allied Health and Health Care Services,1,,3,1
161328,"Nursing Coordinator, Recruitment ",NURSE LEVEL 5 RDO,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Human Resources and Work Health Safety, Nursing and Midwifery",1,,3,1
161334,Engineering Services Manager,TECHNICAL 5 - RDO,Department of Health,Nhulunbuy,Ongoing (Permanent) - Full Time,,"Engineering, Trades, Maintenance and Services",1,,7,0
161362,Senior Communications Consultant,ADMINISTRATIVE OFFICER 6,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Communication, Media and Public Relations",1,,13,1
161386,Emergency Department Medical Officers,"HOSPITAL MEDICAL OFFICER HMO1-HMO7, REGISTRAR REG1-REG6, RURAL GENERALIST TRAINEE RGT1-RGT3, INTERN/RESIDENT MO1-MO3, RURAL REGISTRAR RL1.1-RL1.3, SENIOR HOSPITAL MEDICAL OFFICER SHMO1-2, SENIOR REGISTRAR SREG1-SREG2, SENIOR RESIDENT MEDICAL OFFICER MO4-MO5",Department of Health,Katherine,Fixed (Temporary) - Full Time,,Medical,,Several,83,0
161410,Records Manager Top End Mental Health Service ,ADMINISTRATIVE OFFICER 3,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Information and Records Management",1,,30,1
161433,Regional Engagement Lead ,ADMINISTRATIVE OFFICER 7,Department of Corporate and Digital Development ,Katherine,Fixed (Temporary) - Full Time,YES,"Communication, Media and Public Relations, Administration and Business Services",1,,2,0
161472,Clinical Nurse - Education,NURSE LEVEL 3,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,3,1
161489,Oral Health Promotion Planning and Evaluation Officer,PROFESSIONAL 2,Department of Health,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Administration and Business Services, Medical, Professional",1,,10,1
161493,Dental Laboratory Manager,TECHNICAL 4,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Administration and Business Services",1,,0,0
161503,Aboriginal Sexual Assault Worker,ADMINISTRATIVE OFFICER 5,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,15,1
161505,Housekeeper,PHYSICAL 2 - RDO,Department of Health,Nhulunbuy,Ongoing (Permanent) - Full Time,,Housekeeping Services,2,,14,2
161508,Administration Manager,ADMINISTRATIVE OFFICER 6,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Allied Health and Health Care Services",1,,26,1
161526,ICT Project Manager,TGEN BAND 3 ADMIN CORPORATE SERVICES,Territory Generation,Darwin,Fixed (Temporary) - Full Time,YES,"Information and Communication Technology (ICT), Program and Project Management",1,,17,1
161552,Senior Project Officer,ADMINISTRATIVE OFFICER 7,"Department of Infrastructure, Planning and Logistics",Darwin,Ongoing (Permanent) - Full Time,,"Program and Project Management, Administration and Business Services",1,,15,1
161559,Senior Business Intelligence Analyst / Developer,ADMINISTRATIVE OFFICER 7,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,Administration and Business Services,1,,6,0
161675,Technical Officer,TECHNICAL 4,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Information and Communication Technology (ICT), Police, Fire and Emergency Workers",1,,5,0
161710,Continuous Quality Improvement Facilitator,NURSE LEVEL 5,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,YES,"Human Resources and Work Health Safety, Nursing and Midwifery",1,,4,1
161711,Nurse Education Specialist,NURSE LEVEL 4 RDO,Department of Health,Nhulunbuy,Fixed (Temporary) - Full Time,YES,"Education and Training, Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,3,1
161728,Primary Health Care Nurse,NURSE LEVEL 4 RDO,Department of Health,Napperby (Laramba),Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Administration and Business Services",1,,0,0
161734,Dental Therapist,PROFESSIONAL 2,Department of Health,Katherine,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Professional",1,,2,1
161739,Recruitment Officer,ADMINISTRATIVE OFFICER 4,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Human Resources and Work Health Safety",1,,28,1
161740,Team Leader,ADMINISTRATIVE OFFICER 7,Department of the Attorney-General and Justice,Katherine,Ongoing (Permanent) - Full Time,,Probation and Parole Officer,1,,8,1
161751,Land Information Officer,ADMINISTRATIVE OFFICER 5,"Department of Infrastructure, Planning and Logistics",Darwin,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,14,0
161763,Senior Human Resources Project Officer,TGEN BAND 3 ADMIN CORPORATE SERVICES,Territory Generation,Darwin,Fixed (Temporary) - Full Time,YES,"Human Resources and Work Health Safety, Administration and Business Services",1,,9,0
161764,Clinical Educator Computed Tomography,SENIOR PROFESSIONAL OFFICER 1,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Full Time,,Professional,1,,4,1
161767,Ultrasound Clinical Educator,SENIOR PROFESSIONAL OFFICER 1,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Full Time,,"Professional, Allied Health and Health Care Services, Medical",1,,0,0
161791,Indigenous Employment Provisional Sum Audit and Investigation Officer,ADMINISTRATIVE OFFICER 7,"Department of Infrastructure, Planning and Logistics",Palmerston,Fixed (Temporary) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,8,1
161797,Kiosk Food Service Assistant,PHYSICAL 2 - RDO,Department of Health,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,"Hospitality and Food Services, Allied Health and Health Care Services",1,,91,1
161798,Clinical Nurse Specialist,NURSE LEVEL 4 RDO,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,Nursing and Midwifery,1,,1,0
161810,Hearing Health Outreach Services Coordinator,ADMINISTRATIVE OFFICER 5,Department of Health,Darwin,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,9,1
161825,"Program Leader, Wildstock Fisheries",SENIOR ADMINISTRATIVE OFFICER 1,"Department of Industry, Tourism and Trade",Darwin,Ongoing (Permanent) - Full Time,,"Administration and Business Services, Environment, Natural Resources and Conservation, Executive and Senior Management, Primary Industry",1,,8,1
161863,Emergency Department Administration Clerk,ADMINISTRATIVE OFFICER 3,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,83,1
161886,Administrative Officer,ADMINISTRATIVE OFFICER 3,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,55,1
161893,ICT Service Delivery and Security Officer,ADMINISTRATIVE OFFICER 4,Department of Corporate and Digital Development ,Darwin,Ongoing (Permanent) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,22,0
161912,Medical Registrar - Rehabilitation ,REGISTRAR REG1-REG6,Department of Health,"Darwin, Palmerston",Fixed (Temporary) - Full Time,,Medical,,Several,23,0
161913,Regional Electrical Engineer - North,TGEN BAND 3 PROFESSIONAL,Territory Generation,Darwin,Ongoing (Permanent) - Full Time,,"Engineering, Science, Trades, Maintenance and Services",1,,9,1
161916,Housekeeping Supervisor,PHYSICAL 5 - RDO,Department of Health,"Darwin, Palmerston",Ongoing (Permanent) - Part Time,,Housekeeping Services,1,,18,1
161926,Senior Sonographer,PROFESSIONAL 3,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,"Professional, Allied Health and Health Care Services, Medical",2,,4,2
161959,Information Technology and Administration Support Officer,ADMINISTRATIVE OFFICER 3,Department of Education,Katherine,Fixed (Temporary) - Full Time,,"Administration and Business Services, Information and Communication Technology (ICT)",1,,14,1
161960,Assistant Children's Commissioner,SENIOR ADMINISTRATIVE OFFICER 2,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,Executive and Senior Management,1,,18,1
